iteration,prior mass,evidence
346,0.03142976201836771,2.0420858939358377e-171
347,0.03111703066106086,2.344242049373303e-171
348,0.030807411032751076,2.6968770877448977e-171
349,0.030500872171217483,3.093199945808466e-171
350,0.0301973834223185,3.518017904653153e-171
351,0.02989691443692632,3.9598373906214453e-171
352,0.029599435167892,4.474361102977991e-171
353,0.02930491586704076,5.164907302280306e-171
354,0.029013327082197053,6.111119829058054e-171
355,0.028724639654239433,7.2911249898838715e-171
356,0.028438824714184505,8.480217445279212e-171
357,0.028155853680300106,9.674391457728718e-171
358,0.027875698255247015,1.0986275905939538e-170
359,0.027598330423249287,1.246649816858644e-170
360,0.02732372244729256,1.4043367870119394e-170
361,0.027051846866350416,1.5616116247259313e-170
362,0.026782676492638175,1.7362697740273797e-170
363,0.02651618440889418,1.921277302639182e-170
364,0.02625234396568796,2.1392902369203794e-170
365,0.025991128778755347,2.426812624682666e-170
366,0.02573251272635994,2.7152319728673175e-170
367,0.025476469946681016,3.01101782236284e-170
368,0.025222974835227212,3.3254031848489254e-170
369,0.024972002042276155,3.741686166867772e-170
370,0.024723526470339388,4.2923542996818685e-170
371,0.02447752327165267,4.9360647307670935e-170
372,0.024233967845691113,5.706569211564456e-170
373,0.023992835836709175,6.586591606001302e-170
374,0.023754103131304997,7.582886512576051e-170
375,0.023517745856009107,8.835812988665565e-170
376,0.02328374037489701,1.0408667881172658e-169
377,0.02305206328722557,1.205097054351825e-169
378,0.02282269142509298,1.379641390258204e-169
379,0.022595601851121864,1.5678122050532734e-169
380,0.0223707718561656,1.7690076393690396e-169
381,0.022148178957037315,1.982905856025907e-169
382,0.02192780089426162,2.197458418179894e-169
383,0.02170961562984857,2.4240543791132186e-169
384,0.021493601345089923,2.67576558520146e-169
385,0.02127973643837717,2.989222307421074e-169
386,0.021067999523041434,3.6664010686855164e-169
387,0.020858369425214716,4.563933698288815e-169
388,0.020650825181712566,5.620334333069923e-169
389,0.020445346037937653,6.706885741750771e-169
390,0.02024191144580439,8.325750593098721e-169
391,0.020040501061684014,9.987596791051869e-169
392,0.019841094744370288,1.1837966564231527e-168
393,0.019643672553065292,1.3865271832571776e-168
394,0.01944821474538539,1.5972887892578664e-168
395,0.01925470177538692,1.8140773924769924e-168
396,0.019063114291611637,2.053657188146539e-168
397,0.018873433135151486,2.311362880773983e-168
398,0.018685639337732773,2.625136869702671e-168
399,0.018499714119819242,2.9437446645180707e-168
400,0.01831563888873418,3.260620638211059e-168
401,0.018133395236801075,3.583597495932977e-168
402,0.017952964939502866,3.936500285470791e-168
403,0.01777432995365944,4.358124136380673e-168
404,0.017597472415623393,4.832659911350723e-168
405,0.017422374639493515,5.339522793207616e-168
406,0.01724901911534628,5.949497387929249e-168
407,0.017077388507484793,6.5918666766141965e-168
408,0.01690746565270528,7.241184493629285e-168
409,0.016739233558580632,8.127813084119329e-168
410,0.016572675401761255,9.01244243446578e-168
411,0.016407774526292645,1.0088978757369064e-167
412,0.01624451444194987,1.1946352677243068e-167
413,0.016082878822588433,1.384386757171806e-167
414,0.015922851504511698,1.6103876364638554e-167
415,0.015764416484854486,1.871864611187158e-167
416,0.01560755791998283,2.1515569109902522e-167
417,0.015452260123909515,2.4779846754464935e-167
418,0.015298507566725518,2.8105732321475645e-167
419,0.01514628487304698,3.491472853447967e-167
420,0.014995576820477703,4.217592441465364e-167
421,0.014846368338086832,5.126869208067159e-167
422,0.014698644504901784,6.5671609804025915e-167
423,0.014552390548416123,8.513971642214472e-167
424,0.01440759184311235,1.0567817760445438e-166
425,0.014264233908999256,1.2815183765846e-166
426,0.014122302410163962,1.504671971643116e-166
427,0.013981783153338308,1.7413382810115952e-166
428,0.013842662086479501,1.9796812954590124e-166
429,0.013704925297364945,2.2164375678258503e-166
430,0.013568559012200934,2.4576941570447197e-166
431,0.013433549594245314,2.7265697851667775e-166
432,0.013299883542443767,3.016428351478839e-166
433,0.013167547490079751,3.342528764276651e-166
434,0.013036528203437736,3.7405231034411353e-166
435,0.012906812580479873,4.250627378479973e-166
436,0.01277838764953576,4.824958012215267e-166
437,0.012651240568005305,5.444990452769802e-166
438,0.012525358621074385,6.242539082554546e-166
439,0.012400729220443406,7.13607993400504e-166
440,0.012277339903068436,8.081703125479108e-166
441,0.012155178329914935,9.095144941780151e-166
442,0.012034232284723775,1.0176321913111255e-165
443,0.011914489672789647,1.1255479362827628e-165
444,0.011795938519751562,1.2354527891865978e-165
445,0.011678566970395442,1.369997036115862e-165
446,0.011562363287468536,1.5335050198888315e-165
447,0.01144731585050571,1.712969824781551e-165
448,0.011333413154667387,1.9394896902601678e-165
449,0.011220643809589084,2.3825231752101285e-165
450,0.011108996538242306,3.002997592475886e-165
451,0.010998460175806881,3.8786073005779826e-165
452,0.01088902366855445,4.921771974434618e-165
