iteration,prior mass,worst L,evidence
45,0.4065696597405991,1.533320277144588e-188,7.09061001460264e-190
46,0.39851904108451414,1.8799269201896874e-188,8.604067488178186e-190
47,0.39062783535852114,1.4870396089216944e-187,2.0338602964879455e-189
48,0.38289288597511206,1.941136176292872e-187,3.5353193034809054e-189
49,0.37531109885139957,2.2324382080164012e-187,5.227906429483159e-189
50,0.36787944117144233,3.150190687179597e-187,7.569020310853961e-189
51,0.3605949401730783,7.810608107235976e-187,1.3258658566353026e-188
52,0.35345468195878016,9.134213132629747e-187,1.978072260149398e-188
53,0.3464558103300574,1.101545502838558e-186,2.7490298169057906e-188
54,0.3395955256449391,1.1349052075404447e-186,3.527607098340861e-188
55,0.33287108369807955,1.3019599099808504e-186,4.403102481521334e-188
56,0.32627979462303947,1.4647860270322826e-186,5.36858529524626e-188
57,0.31981902181630395,3.744215113101888e-186,7.787637613775942e-188
58,0.3134861808826053,4.558136133640393e-186,1.0674232722624809e-187
59,0.30727873860113125,6.0294540564392076e-186,1.441698152703942e-187
60,0.30119421191220214,6.209504624203824e-186,1.8195171188139112e-187
61,0.2952301669240142,7.372534309832888e-186,2.2592183818219345e-187
62,0.2893842179390506,8.141300946507214e-186,2.735154681867105e-187
63,0.2836540264997704,1.198438695763406e-185,3.421882997363667e-187
64,0.27803730045319414,1.6337651229397963e-185,4.3395241093640484e-187
65,0.2725317930340126,2.0772971000353013e-185,5.483181568972914e-187
66,0.26713530196585034,3.673814571444418e-185,7.465752321061329e-187
67,0.261845668580326,4.881100644051986e-185,1.0047675613549508e-186
68,0.2566607769535559,4.947223422053982e-185,1.2612757343226373e-186
69,0.2515785530597565,5.0273091835971545e-185,1.5167748428665817e-186
70,0.2465969639416065,5.941198088092352e-185,1.8127409203107276e-186
71,0.24171401689703645,7.016342349769626e-185,2.1553452017157196e-186
72,0.23692775868212176,1.4984549632194567e-184,2.8725444394546002e-186
73,0.23223627472975883,4.3126771971483505e-184,4.895830025668904e-186
74,0.22763768838381274,4.3298992575604134e-184,6.886971586182848e-186
75,0.22313016014842982,4.629961965979835e-184,8.973940015223159e-186
76,0.21871188695221475,6.900483379093408e-184,1.2022762090700761e-185
77,0.21438110142697794,1.2969724699062907e-183,1.763967169000155e-185
78,0.21013607120076472,3.0110772211704204e-183,3.042178550733211e-185
79,0.20597509820488344,3.5526340543961688e-183,4.520419987192279e-185
80,0.20189651799465538,3.7354283789361973e-183,6.043944413497623e-185
81,0.19789869908361465,1.019481462962649e-182,1.011964668558517e-184
82,0.1939800422908919,1.2004578520015129e-182,1.4823829001708248e-184
83,0.19013898010152055,1.5085680348128265e-182,2.061833264032205e-184
84,0.18637397603940997,2.5299920204370567e-182,3.014376287437493e-184
85,0.18268352405273466,3.775700290632337e-182,4.407780351302958e-184
86,0.17906614791149322,5.09617985501701e-182,6.251260293204338e-184
87,0.17552040061699686,6.803057314994922e-182,8.66345250009903e-184
88,0.17204486382305054,7.501442596031308e-182,1.1270606475117335e-183
89,0.1686381472685955,7.805056006000081e-182,1.3929567825526257e-183
90,0.16529888822158653,8.086462895073891e-182,1.6629847263594035e-183
91,0.16202575093388075,8.417464568809113e-182,1.9384998978405175e-183
92,0.15881742610692068,1.4823911332861813e-181,2.41409912545927e-183
93,0.1556726303679973,1.9033472934593633e-181,3.0126629712755042e-183
