iteration,prior mass,evidence
84,0.43171052342907973,1.659137072561347e-191
85,0.4274149319487267,1.9756391135360633e-191
86,0.4231620823177488,2.330558198671202e-191
87,0.418951549247639,2.6925848371057974e-191
88,0.4147829116815814,3.05759144738446e-191
89,0.4106557527523455,3.615662038170279e-191
90,0.4065696597405991,4.344007772884882e-191
91,0.40252422403363597,5.0939916027595106e-191
92,0.39851904108451414,5.874810181169179e-191
93,0.3945537103716011,6.707588708691847e-191
94,0.39062783535852114,7.758687064780131e-191
95,0.38674102345450123,8.801393918405606e-191
96,0.38289288597511206,9.985846207869594e-191
97,0.37908303810339883,1.1448526892119308e-190
98,0.37531109885139957,1.3215051252842242e-190
99,0.3715766910220457,1.499163912967509e-190
100,0.36787944117144233,1.6953861333478595e-190
101,0.3642189795715233,1.9512541469591235e-190
102,0.3605949401730783,2.2548668255460003e-190
103,0.3570069605691474,2.6019091548502063e-190
104,0.35345468195878016,2.9890816146819693e-190
105,0.3499377491111553,3.387884201032722e-190
106,0.3464558103300574,3.907269231138522e-190
107,0.34300851741870664,4.505602201800882e-190
108,0.3395955256449391,5.278134329409274e-190
109,0.33621649370673334,6.102136531484713e-190
110,0.33287108369807955,7.103576559581584e-190
111,0.32955896107518906,8.192668425443757e-190
112,0.32627979462303947,9.708484578053467e-190
113,0.32303325642225295,1.133824791236435e-189
114,0.31981902181630395,1.3305818583941373e-189
115,0.3166367693790533,1.6264018734190008e-189
116,0.3134861808826053,2.0617183529860007e-189
117,0.31036694126548503,2.523123282398325e-189
118,0.30727873860113125,3.0513133025010277e-189
119,0.3042212640667041,3.676724880397643e-189
120,0.30119421191220214,4.305209048845908e-189
121,0.2981972794298874,4.935147352767343e-189
122,0.2952301669240142,5.584208976191802e-189
123,0.2922925776808594,6.7421693181870664e-189
124,0.2893842179390506,8.149461906836173e-189
125,0.2865047968601901,1.0267081215306032e-188
126,0.2836540264997704,1.2365981984174476e-188
127,0.2808316217783798,1.4595353996601963e-188
128,0.27803730045319414,1.7243610526180464e-188
129,0.27527078308975234,2.0654253651514398e-188
130,0.2725317930340126,2.5470109215403044e-188
131,0.2698200563846868,3.045531963349008e-188
132,0.26713530196585034,3.622708423202844e-188
133,0.26447726129982396,4.61483415122092e-188
134,0.261845668580326,5.87240796706038e-188
135,0.2592402606458915,7.261507296158395e-188
136,0.2566607769535559,8.732089428314292e-188
137,0.25410695955280027,1.0349469160567279e-187
138,0.2515785530597565,1.2541067136108596e-187
139,0.24907530463166822,1.4824844829047515e-187
140,0.2465969639416065,1.735447426169244e-187
141,0.2441432831534371,1.9890851424706348e-187
142,0.24171401689703645,2.2556967189659175e-187
